,Date,Open,High,Low,Close*,Adj Close**,Volume
5065,"Apr 02, 2002","1,146.54","1,146.54","1,135.71","1,136.76","1,136.76","1,176,700,000"
5066,"Apr 01, 2002","1,147.39","1,147.84","1,132.87","1,146.54","1,146.54","1,050,900,000"
5067,"Mar 28, 2002","1,144.58","1,154.45","1,144.58","1,147.39","1,147.39","1,147,600,000"
5068,"Mar 27, 2002","1,138.49","1,146.95","1,135.33","1,144.58","1,144.58","1,180,100,000"
5069,"Mar 26, 2002","1,131.87","1,147.00","1,131.61","1,138.49","1,138.49","1,223,600,000"
5070,"Mar 25, 2002","1,148.70","1,151.04","1,131.87","1,131.87","1,131.87","1,057,900,000"
5071,"Mar 22, 2002","1,153.59","1,156.49","1,144.60","1,148.70","1,148.70","1,243,300,000"
5072,"Mar 21, 2002","1,151.85","1,155.10","1,139.48","1,153.59","1,153.59","1,339,200,000"
5073,"Mar 20, 2002","1,170.29","1,170.29","1,151.61","1,151.85","1,151.85","1,304,900,000"
5074,"Mar 19, 2002","1,165.55","1,173.94","1,165.55","1,170.29","1,170.29","1,255,000,000"
5075,"Mar 18, 2002","1,166.16","1,172.73","1,159.14","1,165.55","1,165.55","1,169,500,000"
5076,"Mar 15, 2002","1,153.04","1,166.48","1,153.04","1,166.16","1,166.16","1,493,900,000"
5077,"Mar 14, 2002","1,154.09","1,157.83","1,151.08","1,153.04","1,153.04","1,208,800,000"
5078,"Mar 13, 2002","1,165.58","1,165.58","1,151.01","1,154.09","1,154.09","1,354,000,000"
5079,"Mar 12, 2002","1,168.26","1,168.26","1,154.34","1,165.58","1,165.58","1,304,400,000"
5080,"Mar 11, 2002","1,164.31","1,173.03","1,159.58","1,168.26","1,168.26","1,210,200,000"
5081,"Mar 08, 2002","1,157.54","1,172.76","1,157.54","1,164.31","1,164.31","1,412,000,000"
5082,"Mar 07, 2002","1,162.77","1,167.94","1,150.69","1,157.54","1,157.54","1,517,400,000"
5083,"Mar 06, 2002","1,146.14","1,165.29","1,145.11","1,162.77","1,162.77","1,541,300,000"
5084,"Mar 05, 2002","1,153.84","1,157.74","1,144.78","1,146.14","1,146.14","1,549,300,000"
5085,"Mar 04, 2002","1,131.78","1,153.84","1,130.93","1,153.84","1,153.84","1,594,300,000"
5086,"Mar 01, 2002","1,106.73","1,131.79","1,106.73","1,131.78","1,131.78","1,456,500,000"
5087,"Feb 28, 2002","1,109.89","1,121.57","1,106.73","1,106.73","1,106.73","1,392,200,000"
5088,"Feb 27, 2002","1,109.38","1,123.06","1,102.26","1,109.89","1,109.89","1,393,800,000"
5089,"Feb 26, 2002","1,109.43","1,115.05","1,101.72","1,109.38","1,109.38","1,309,200,000"
5090,"Feb 25, 2002","1,089.84","1,112.71","1,089.84","1,109.43","1,109.43","1,367,400,000"
5091,"Feb 22, 2002","1,080.95","1,093.93","1,074.39","1,089.84","1,089.84","1,411,000,000"
5092,"Feb 21, 2002","1,097.98","1,101.50","1,080.24","1,080.95","1,080.95","1,381,600,000"
5093,"Feb 20, 2002","1,083.34","1,098.32","1,074.36","1,097.98","1,097.98","1,438,900,000"
5094,"Feb 19, 2002","1,104.18","1,104.18","1,082.24","1,083.34","1,083.34","1,189,900,000"
5095,"Feb 15, 2002","1,116.48","1,117.09","1,103.23","1,104.18","1,104.18","1,359,200,000"
5096,"Feb 14, 2002","1,118.51","1,124.72","1,112.30","1,116.48","1,116.48","1,272,500,000"
5097,"Feb 13, 2002","1,107.50","1,120.56","1,107.50","1,118.51","1,118.51","1,215,900,000"
5098,"Feb 12, 2002","1,111.94","1,112.68","1,102.98","1,107.50","1,107.50","1,094,200,000"
5099,"Feb 11, 2002","1,096.22","1,112.01","1,094.68","1,111.94","1,111.94","1,159,400,000"
5100,"Feb 08, 2002","1,080.17","1,096.30","1,079.91","1,096.22","1,096.22","1,371,900,000"
5101,"Feb 07, 2002","1,083.51","1,094.03","1,078.44","1,080.17","1,080.17","1,441,600,000"
5102,"Feb 06, 2002","1,090.02","1,093.58","1,077.78","1,083.51","1,083.51","1,665,800,000"
5103,"Feb 05, 2002","1,094.44","1,100.96","1,082.58","1,090.02","1,090.02","1,778,300,000"
5104,"Feb 04, 2002","1,122.20","1,122.20","1,092.25","1,094.44","1,094.44","1,437,600,000"
5105,"Feb 01, 2002","1,130.20","1,130.20","1,118.51","1,122.20","1,122.20","1,367,200,000"
5106,"Jan 31, 2002","1,113.57","1,130.21","1,113.30","1,130.20","1,130.20","1,557,000,000"
5107,"Jan 30, 2002","1,100.64","1,113.79","1,081.66","1,113.57","1,113.57","2,019,600,000"
