"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 16일","98.621","98.910","99.100","98.295","23.70K","-0.45%"
"2022년 03월 15일","99.064","99.085","99.180","98.600","20.63K","0.19%"
"2022년 03월 14일","98.879","98.980","99.255","98.740","0.16K","-0.25%"
"2022년 03월 11일","99.130","98.470","99.155","98.260","13.65K","0.64%"
"2022년 03월 10일","98.504","98.100","98.605","97.710","29.24K","0.56%"
"2022년 03월 09일","97.953","99.015","99.085","97.850","42.71K","-1.14%"
"2022년 03월 08일","99.080","99.250","99.330","98.700","41.67K","-0.22%"
"2022년 03월 07일","99.295","98.635","99.425","98.625","52.82K","0.63%"
"2022년 03월 04일","98.671","98.065","98.945","97.840","29.68K","0.90%"
"2022년 03월 03일","97.791","97.480","97.965","97.440","21.77K","0.39%"
"2022년 03월 02일","97.414","97.405","97.850","97.295","29.37K","0.01%"
"2022년 03월 01일","97.406","96.810","97.575","96.625","28.47K","0.74%"
"2022년 02월 28일","96.694","97.230","97.400","96.610","30.60K","0.08%"
"2022년 02월 25일","96.619","97.040","97.225","96.510","33.08K","-0.51%"
"2022년 02월 24일","97.118","96.255","97.735","96.255","53.31K","0.97%"
"2022년 02월 23일","96.188","96.005","96.240","95.835","19.87K","0.18%"
"2022년 02월 22일","96.011","96.120","96.250","95.830","20.09K","-0.01%"
"2022년 02월 21일","96.020","96.120","96.145","95.650","22.84K","-0.00%"
"2022년 02월 18일","96.022","95.835","96.175","95.725","18.09K","0.23%"
"2022년 02월 17일","95.803","95.805","96.115","95.680","34.05K","0.11%"
"2022년 02월 16일","95.697","95.980","96.055","95.665","17.17K","-0.31%"
"2022년 02월 15일","95.993","96.230","96.290","95.950","22.73K","-0.38%"
"2022년 02월 14일","96.356","96.010","96.430","95.910","32.84K","0.29%"
"2022년 02월 11일","96.073","95.850","96.135","95.630","33.61K","0.55%"
"2022년 02월 10일","95.548","95.595","96.010","95.160","43.97K","0.06%"
"2022년 02월 09일","95.494","95.630","95.665","95.375","17.66K","-0.15%"
"2022년 02월 08일","95.641","95.420","95.745","95.390","16.55K","0.26%"
"2022년 02월 07일","95.392","95.415","95.620","95.340","16.24K","-0.09%"
"2022년 02월 04일","95.480","95.305","95.695","95.145","26.52K","0.11%"
"2022년 02월 03일","95.379","96.060","96.250","95.230","38.80K","-0.58%"
"2022년 02월 02일","95.935","96.270","96.300","95.795","21.52K","-0.46%"
"2022년 02월 01일","96.375","96.695","96.715","96.215","20.90K","-0.17%"
"2022년 01월 31일","96.537","97.220","97.300","96.510","21.12K","-0.75%"
"2022년 01월 28일","97.266","97.220","97.440","97.050","22.33K","0.02%"
"2022년 01월 27일","97.242","96.530","97.300","96.530","24.20K","0.87%"
"2022년 01월 26일","96.400","95.950","96.535","95.900","23.31K","0.49%"
"2022년 01월 25일","95.928","95.915","96.260","95.895","16.02K","0.03%"
