,date,doller,fed,gdp,cpi,sp_close,sp_volume,mi_close,mi_volume,gsci_close,unem,infl,pmi
8151,1989-01-30,96.029999,9.18,5511.253,121.2,294.99,167830000.0,93.69,21890.0,1375.7,5.4,4.7,54.7
8152,1989-01-27,96.190002,9.17,5511.253,121.2,293.82,254870000.0,93.94,25240.0,1380.3101,5.4,4.7,54.7
8153,1989-01-26,95.459999,9.25,5511.253,121.2,291.69,212250000.0,93.72,23880.0,1372.84,5.4,4.7,54.7
8154,1989-01-25,95.050003,9.32,5511.253,121.2,289.14,183610000.0,93.75,24000.0,1391.36,5.4,4.7,54.7
8155,1989-01-24,95.25,9.1,5511.253,121.2,288.49,189620000.0,94.12,35250.0,1372.53,5.4,4.7,54.7
8156,1989-01-23,94.940002,9.1,5511.253,121.2,284.5,141640000.0,93.69,10080.0,1370.6,5.4,4.7,54.7
8157,1989-01-20,95.089996,8.97,5511.253,121.2,286.63,166120000.0,93.5,16239.999999999998,1401.4,5.4,4.7,54.7
8158,1989-01-19,95.830002,8.98,5511.253,121.2,286.91,192030000.0,93.69,20720.0,1412.72,5.4,4.7,54.7
8159,1989-01-18,96.580002,9.07,5511.253,121.2,286.53,187450000.0,93.75,34190.0,1415.88,5.4,4.7,54.7
8160,1989-01-17,95.620003,9.26,5511.253,121.2,283.55,143930000.0,93.31,17330.0,1401.63,5.4,4.7,54.7
8161,1989-01-16,96.010002,9.1,5511.253,121.2,284.14,117380000.0,93.38,7290.0,1397.6,5.4,4.7,54.7
8162,1989-01-13,95.32,9.1,5511.253,121.2,283.87,132320000.0,93.38,38450.0,1396.12,5.4,4.7,54.7
8163,1989-01-12,94.629997,9.15,5511.253,121.2,283.17,183000000.0,92.81,19690.0,1387.89,5.4,4.7,54.7
8164,1989-01-11,94.550003,9.1,5511.253,121.2,282.01,148950000.0,92.22,11730.0,1384.0,5.4,4.7,54.7
8165,1989-01-10,95.089996,9.15,5511.253,121.2,280.38,140420000.0,92.25,16600.0,1382.33,5.4,4.7,54.7
8166,1989-01-09,94.5,9.19,5511.253,121.2,280.98,163180000.0,92.16,13720.0,1384.2,5.4,4.7,54.7
8167,1989-01-06,94.360001,9.04,5511.253,121.2,280.67,161330000.0,92.12,19040.0,1383.1899,5.4,4.7,54.7
8168,1989-01-05,93.589996,9.0,5511.253,121.2,280.01,174040000.0,91.97,20110.0,1379.24,5.4,4.7,54.7
8169,1989-01-04,92.980003,9.35,5511.253,121.2,279.43,149700000.0,92.31,16630.0,1368.52,5.4,4.7,54.7
8170,1989-01-03,92.169998,9.4,5511.253,121.2,275.31,128500000.0,92.25,24230.0,1371.33,5.4,4.7,54.7
8171,1988-12-30,92.5,9.04,5399.509,120.7,277.72,127210000.0,92.72,5730.0,1367.97,5.3,4.4,56.0
8172,1988-12-29,93.239998,9.64,5399.509,120.7,279.4,131290000.0,92.47,11660.0,1353.34,5.3,4.4,56.0
8173,1988-12-28,93.370003,9.39,5399.509,120.7,277.08,110630000.0,92.31,18200.0,1359.66,5.3,4.4,56.0
