"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-12",99.72454,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-01",99.70094,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-02",99.69706,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-03",99.73532,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-04",99.80771,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-05",99.865,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-06",99.91524,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-07",99.95342,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-08",99.99459,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-09",100.0592,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-10",100.1925,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-11",100.4184,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-12",100.7439,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-01",101.1836,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-02",101.5543,
